# output_current.csv run at 2017-07-18 00:00:00 PDT on 2948 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
recloser_Breaker Recloser_TUR117_3,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
recloser_Breaker Recloser,201.003391,-54.013479,-147.278740,-147.067303,-53.724650,201.080782
recloser_392-93176,199.754923,-53.677991,-146.363965,-146.153841,-53.390957,199.831833
recloser_392-58264,133.664982,-1.087555,-67.735686,-115.189011,-65.886232,116.260788
FUSEs_402-1375944,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
FUSEs_402-1375942,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
FUSEs_402-1375943,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
FUSEs_402-619382,0.000000,0.000000,-512.138255,-782.549278,0.000000,0.000000
FUSEs_402-458138,-59.094095,-1.732743,28.045928,52.043143,31.047863,-50.309036
FUSEs_402-1056198,90.526731,-2.262383,-47.172332,-77.290817,-43.298295,79.475283
FUSEs_402-1492513,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000
FUSEs_402-1397702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FUSEs_402-1262950,9.060882,-0.022851,0.000000,0.000000,0.000000,0.000000
FUSEs_402-1390342,10.627621,-0.032025,-5.321913,-9.186353,-5.335157,9.265735
FUSEs_402-158826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FUSEs_402-158825,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
FUSEs_402-1397704,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FUSEs_402-158808,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
FUSEs_402-158806,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
FUSEs_402-700342,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000
FUSEs_402-1339159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FUSEs_402-1397705,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
FUSEs_402-1397706,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000
FUSEs_402-158821,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
FUSEs_402-158810,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000
FUSEs_402-158814,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
FUSEs_402-167773,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000
FUSEs_402-462222,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
FUSEs_402-463500,9.060882,-0.022851,0.000000,0.000000,0.000000,0.000000
FUSEs_402-1369238,136.171200,-1.107946,-69.005730,-117.348805,-67.121599,118.440677
Breaker_CASP13,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Breaker_EB13,73.114389,-0.090214,-36.634694,-63.273532,-36.479369,63.361931
Breaker_EB11,-452.561354,-6.282973,220.835531,395.069428,231.723654,-388.775612
Breaker_EA1,-171.850258,0.485496,86.349231,148.583578,85.504292,-149.074258
Breaker_EA7,289.736751,-6.331444,-150.357646,-247.753132,-139.384464,254.093739
Breaker_CASP24,482.740422,-29.232081,-266.696912,-403.454980,-216.072299,432.522709
389-1183379-0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-1183388-0,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
389-1183414-0,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
389-1183416-0,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-1183416-1,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-1190523-0,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
389-1194536-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-1194537-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-1194538-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-1459976-0,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
389-1459979-0,385.049116,-4.752747,-196.640558,-331.085943,-188.408559,335.838690
389-1473435-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-1648774-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-1901569-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-1901570-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-1901582-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-1901582-1,385.049116,-4.752747,-196.640558,-331.085943,-188.408559,335.838690
389-2176151-0,385.049116,-4.752747,-196.640558,-331.085943,-188.408559,335.838690
389-2176152-0,385.049116,-4.752747,-196.640558,-331.085943,-188.408559,335.838690
389-3000721-0,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
389-3000739-0,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000
389-3000741-0,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
389-3000742-0,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000
389-3000743-0,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
389-3025314-0,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
389-3028233-0,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
389-3049331-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-3050618-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840060
389-3050618-1,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000
389-3063713-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-3063714-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-3063714-1,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-3064097-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-3064097-1,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-3065377-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-3104116-0,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
389-3104180-0,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
389-3109251-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-3126436-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-3135075-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840060
389-547413-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-547415-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-547730-0,121.348799,-1.497835,-61.971563,-104.342225,-59.377236,105.840061
389-781331-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-1253829-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1253832-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1253833-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1253836-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1253838-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1254098-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1254100-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1254104-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1254106-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1254108-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1254110-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1254111-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1254404-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1254407-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1254409-0,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
389-1254410-0,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
389-1254416-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1254775-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1254776-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1256957-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1264313-0,933.757733,-52.239099,-512.138255,-782.549278,-421.672329,834.473374
389-1459444-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1459977-0,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000
389-1459981-0,933.757733,-52.239099,-512.138255,-782.549278,-421.672329,834.473374
389-1473434-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1901580-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1901581-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-1901581-1,933.757733,-52.239099,-512.138255,-782.549278,-421.672329,834.473374
389-3024801-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-3024906-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
389-3027874-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-3104113-0,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000
389-3104179-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-781140-0,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
401-129004-0,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
401-129005-0,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
389-1190526-0,-59.165788,35.986325,60.747444,33.245700,-1.581959,-69.230654
389-1190690-0,-59.165788,35.986325,60.747444,33.245700,-1.581959,-69.230654
389-1190690-1,-59.165788,35.986325,60.747444,33.245700,-1.581959,-69.230654
389-3020482-0,-59.165788,35.986325,60.747444,33.245700,-1.581959,-69.230654
389-3020482-1,-59.165788,35.986325,60.747444,33.245700,-1.581959,-69.230654
389-3020482-2,-59.094095,-1.732743,28.045928,52.043143,31.047863,-50.309036
389-549633-0,-59.165788,35.986325,60.747444,33.245700,-1.581959,-69.230654
389-802872-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TIE-391-1731909,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
TIE-391-559604,-59.094095,-1.732743,28.045928,52.043143,31.047863,-50.309036
TIE-391-758992,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000
UGSW-35524,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000
UGSW-35526,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
UGSW-37761,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000
UGSW-37763,-59.094095,-1.732743,28.045928,52.043143,31.047863,-50.309036
389-1189749-0,90.526731,-2.262383,-47.172332,-77.290817,-43.298295,79.475283
389-1190692-0,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
389-1243304-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-2201457-0,90.526731,-2.262383,-47.172332,-77.290817,-43.298295,79.475283
389-2397319-0,90.526731,-2.262383,-47.172332,-77.290817,-43.298295,79.475283
389-2397319-1,90.526731,-2.262383,-47.172332,-77.290817,-43.298295,79.475283
389-2397319-2,90.526731,-2.262383,-47.172332,-77.290817,-43.298295,79.475283
389-2397320-0,90.526731,-2.262383,-47.172332,-77.290817,-43.298295,79.475283
389-3021153-0,90.526731,-2.262383,-47.172332,-77.290817,-43.298295,79.475283
389-3136995-0,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
395-2147912-0,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000
389-1196856-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-1197079-0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-1197079-1,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-1197079-2,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-1197080-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-1197082-0,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
389-1197083-0,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
389-1197084-0,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
389-1197085-0,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
389-1197085-1,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000
389-1197085-2,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
389-1197383-0,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000
389-1197384-0,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000
389-1197385-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000
389-1197386-0,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000
389-1197387-0,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-1197389-0,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-1197389-1,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-1197391-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-1197392-0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-1197721-0,19.720409,12.051899,5.165753,-15.258290,-15.762351,3.258248
389-1197721-1,19.688503,-0.054877,-5.321913,-9.186353,-5.335157,9.265735
389-1197723-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-1197724-0,9.060882,-0.022851,0.000000,0.000000,0.000000,0.000000
389-2159224-0,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-2160505-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-2160788-0,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-2160789-0,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-2160791-0,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-2160791-1,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-2863671-0,9.060882,-0.022851,0.000000,0.000000,0.000000,0.000000
389-2985217-0,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-2985217-1,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-2985217-2,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-2985217-3,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-2985217-4,19.720409,12.051899,5.165753,-15.258290,-15.762351,3.258248
389-2993393-0,19.720409,12.051899,5.165753,-15.258290,-15.762351,3.258248
389-2993393-1,19.720409,12.051899,5.165753,-15.258290,-15.762351,3.258248
389-2993393-2,19.720409,12.051899,5.165753,-15.258290,-15.762351,3.258248
389-2993393-3,19.720409,12.051899,5.165753,-15.258290,-15.762351,3.258248
389-2993393-4,19.720409,12.051899,5.165753,-15.258290,-15.762351,3.258248
389-3020418-0,10.627621,-0.032025,-5.321913,-9.186353,-5.335157,9.265735
389-3020420-0,10.627621,-0.032025,-5.321913,-9.186353,-5.335157,9.265735
389-3050617-0,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-3050622-0,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-3054115-0,10.627621,-0.032025,-5.321913,-9.186353,-5.335157,9.265735
389-3054115-1,10.627621,-0.032025,-5.321913,-9.186353,-5.335157,9.265735
389-3054115-2,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
389-3054115-3,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-3109282-0,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-554115-0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-554117-0,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000
389-554121-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-554130-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-554146-0,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
389-554149-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-554155-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-554158-0,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
389-554167-0,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000
389-554168-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
389-554176-0,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
389-554462-0,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
389-554462-1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-591896-0,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-591897-0,19.746386,24.157865,15.651871,-21.326523,-26.188050,-2.750331
389-591902-0,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000
389-700690-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-706772-0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-706772-1,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-1279436-0,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
394-1771383-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
394-2352417-0,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
394-2415085-0,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
394-2415088-0,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000
394-309427-0,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
394-309446-0,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
394-325048-0,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
394-813486-0,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
401-113641-0,9.060882,-0.022851,-0.000000,0.000000,0.000000,0.000000
401-113642-0,9.060882,-0.022851,0.000000,0.000000,0.000000,0.000000
TIE-391-1110671,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000
TIE-391-191396,10.627621,-0.032025,-5.321913,-9.186353,-5.335157,9.265735
TIE-391-191399,10.627621,-0.032025,-5.321913,-9.186353,-5.335157,9.265735
UGSW-11201,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
UGSW-11205,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000
UGSW-11206,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
UGSW-12481,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
UGSW-12483,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000
UGSW-26897,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
UGSW-3211,10.627621,-0.032025,-5.321913,-9.186353,-5.335157,9.265735
UGSW-3215,10.627621,-0.032025,-5.321913,-9.186353,-5.335157,9.265735
UGSW-3216,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000
389-1191153-0,201.003391,-54.013479,-147.278740,-147.067303,-53.724650,201.080782
389-1402591-0,201.003391,-54.013479,-147.278740,-147.067303,-53.724650,201.080782
389-1443316-0,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
389-1474387-0,200.582681,-91.165378,-179.242874,-128.127007,-21.339806,219.292386
389-1474387-1,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000
389-1733268-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-1733270-0,0.420710,37.151899,31.964133,-18.940296,-32.384844,-18.211604
389-1733270-1,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
389-2315678-0,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-2315679-0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
389-3027875-0,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000
389-3043684-0,201.003391,-54.013479,-147.278740,-147.067303,-53.724650,201.080782
389-3049333-0,201.003391,-54.013479,-147.278740,-147.067303,-53.724650,201.080782
389-3050614-0,201.003391,-54.013479,-147.278740,-147.067303,-53.724650,201.080782
389-3109249-0,201.003391,-54.013479,-147.278740,-147.067303,-53.724650,201.080782
389-730740-0,201.003391,-54.013479,-147.278740,-147.067303,-53.724650,201.080782
395-759507-0,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000
395-759513-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
395-759830-0,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
401-142442-0,201.003391,-54.013479,-147.278740,-147.067303,-53.724650,201.080782
401-142443-0,201.003391,-54.013479,-147.278740,-147.067303,-53.724650,201.080782
TIE-391-559608,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000
TIE-391-559612,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
TIE-391-559613,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
TIE-391-559617,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000
TIE-391-560880,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000
TIE-391-560893,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
TIE-391-560896,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
UGSW-1293,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
UGSW-1294,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
UGSW-1295,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000
UGSW-2565,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
UGSW-2566,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
UGSW-2568,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
UGSW-2569,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000
UGSW-2570,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
UGSW-2574,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
UGSW-35521,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
UGSW-35522,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
UGSW-4812,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000
UGSW-8007,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
UGSW-8008,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000
UGSW-8009,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
UGSW-8011,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000
UGSW-8012,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
389-2584387-0,136.171200,-1.107946,-69.005730,-117.348805,-67.121599,118.440677
389-2584388-0,136.171200,-1.107946,-69.005730,-117.348805,-67.121599,118.440677
TIE-391-1323823,136.171200,-1.107946,-69.005730,-117.348805,-67.121599,118.440677
TIE-391-1323836,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
TIE-391-1324412,136.171200,-1.107946,-69.005730,-117.348805,-67.121599,118.440677
TIE-391-1332457,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
TIE-391-1366997,93.245143,-0.740972,-47.238722,-80.366122,-45.977810,81.095074
TIE-391-1708485,136.171200,-1.107946,-69.005730,-117.348805,-67.121599,118.440677
TIE-391-670943,42.926058,-0.366975,-21.767008,-36.982683,-21.143789,37.345603
UGSW-19521,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
UGSW-19523,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
UGSW-19842,42.926058,-0.366975,-21.767008,-36.982683,-21.143789,37.345603
UGSW-20801,136.171200,-1.107946,-69.005730,-117.348805,-67.121599,118.440677
UGSW-20803,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
UGSW-22401,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000
UGSW-22402,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
UGSW-22403,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
UGSW-23365,93.245143,-0.740972,-47.238722,-80.366122,-45.977810,81.095074
UGSW-2562,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
UGSW-2573,42.926058,-0.366975,-21.767008,-36.982682,-21.143789,37.345603
UGSW-25921,93.245143,-0.740972,-47.238722,-80.366122,-45.977810,81.095074
UGSW-28161,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
UGSW-34563,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000
UGSW-34565,136.171200,-1.107946,-69.005730,-117.348805,-67.121599,118.440677
UGSW-6087,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
Regulator_416-74596,119.115386,-1.470268,-60.830982,-102.421816,-58.284404,103.892084
Regulator_416-32980,294.275132,-16.463229,-161.401130,-246.621564,-132.890659,262.985520
Regulator_416-14448,-59.165788,35.986325,60.747444,33.245700,-1.581959,-69.230654
Regulator_416-32020,90.526731,-2.262383,-47.172332,-77.290817,-43.298295,79.475283
Regulator_416-69801,19.032661,23.284689,15.086141,-20.555685,-25.090347,-2.635047
Regulator_416-69802,199.754923,-53.677991,-146.363965,-146.153841,-53.390957,199.831833
